iter	Passed	Remaining
0	5	5465
1	8	4378
2	16	5354
3	21	5436
4	28	5742
5	32	5440
6	38	5474
7	44	5529
8	49	5418
9	53	5260
10	57	5160
11	61	5036
12	64	4895
13	70	4952
14	74	4890
15	77	4777
16	83	4808
17	87	4764
18	91	4745
19	97	4799
20	102	4770
21	107	4787
22	112	4762
23	115	4694
24	120	4705
25	124	4670
26	127	4601
27	129	4500
28	132	4438
29	136	4411
30	140	4389
31	146	4422
32	149	4393
33	152	4346
34	156	4325
35	161	4336
36	164	4290
37	168	4269
38	174	4303
39	177	4269
40	182	4278
41	187	4276
42	191	4254
43	195	4256
44	199	4241
45	202	4203
46	206	4181
47	212	4222
48	217	4217
49	220	4189
50	226	4222
51	232	4234
52	236	4225
53	238	4184
54	243	4182
55	247	4169
56	250	4145
57	253	4122
58	257	4110
59	264	4137
60	267	4124
61	270	4091
62	274	4082
63	277	4051
64	279	4019
65	282	4003
66	288	4022
67	292	4004
68	296	3995
69	301	3999
70	304	3989
71	308	3979
72	314	3995
73	319	3993
74	323	3988
75	328	3992
76	333	3998
77	338	4007
78	343	4005
79	347	3992
80	352	4001
81	356	3988
82	359	3974
83	365	3981
84	369	3976
85	372	3963
86	378	3970
87	381	3957
88	385	3943
89	391	3957
90	395	3946
91	399	3943
92	404	3944
93	410	3952
94	414	3951
95	419	3953
96	423	3939
97	428	3941
98	432	3940
99	436	3928
100	441	3933
101	445	3925
102	451	3928
103	458	3950
104	463	3951
105	469	3958
106	473	3953
107	477	3941
108	483	3955
109	488	3951
110	493	3954
111	498	3952
112	503	3955
113	508	3953
114	514	3959
115	520	3965
116	525	3968
117	533	3989
118	541	4005
119	549	4026
120	555	4034
121	562	4049
122	570	4066
123	576	4069
124	584	4091
125	587	4071
126	593	4082
127	600	4092
128	606	4098
129	613	4107
130	620	4114
131	625	4113
132	630	4110
133	637	4119
134	641	4107
135	646	4109
136	652	4112
137	658	4115
138	664	4115
139	669	4113
140	677	4126
141	682	4125
142	688	4126
143	694	4127
144	700	4127
145	703	4113
146	707	4107
147	714	4112
148	718	4105
149	724	4106
150	729	4102
151	734	4096
152	740	4097
153	745	4096
154	753	4106
155	758	4106
156	766	4113
157	772	4117
158	778	4116
159	783	4112
160	788	4111
161	794	4108
162	800	4109
163	805	4107
164	810	4103
165	817	4107
166	822	4102
167	828	4104
168	834	4104
169	840	4103
170	845	4100
171	851	4101
172	856	4092
173	860	4086
174	866	4084
175	872	4083
176	875	4070
177	881	4069
178	887	4068
179	893	4072
180	899	4072
181	907	4076
182	912	4075
183	919	4076
184	923	4068
185	929	4068
186	935	4069
187	943	4074
188	948	4068
189	953	4065
190	959	4066
191	964	4057
192	969	4054
193	975	4052
194	983	4059
195	987	4049
196	993	4049
197	997	4042
198	1003	4040
199	1007	4031
200	1012	4026
201	1017	4019
202	1022	4014
203	1026	4006
204	1030	3995
205	1036	3994
206	1042	3994
207	1047	3989
208	1055	3994
209	1058	3982
210	1063	3976
211	1070	3978
212	1076	3975
213	1081	3970
214	1086	3967
215	1091	3961
216	1097	3959
217	1102	3953
218	1108	3954
219	1113	3947
220	1118	3942
221	1124	3940
222	1130	3940
223	1135	3932
224	1139	3925
225	1145	3921
226	1150	3917
227	1156	3917
228	1162	3912
229	1165	3900
230	1170	3895
231	1174	3889
232	1177	3877
233	1184	3876
234	1189	3873
235	1195	3869
236	1199	3861
237	1204	3854
238	1208	3848
239	1213	3844
240	1216	3832
241	1221	3825
242	1227	3822
243	1231	3814
244	1236	3811
245	1240	3802
246	1244	3793
247	1250	3790
248	1253	3780
249	1257	3772
250	1262	3768
251	1266	3760
252	1270	3751
253	1276	3748
254	1280	3740
255	1283	3730
256	1288	3725
257	1292	3718
258	1296	3710
259	1303	3709
260	1307	3700
261	1312	3697
262	1316	3688
263	1320	3680
264	1325	3675
265	1328	3666
266	1331	3656
267	1335	3648
268	1341	3645
269	1345	3636
270	1349	3631
271	1354	3625
272	1359	3621
273	1366	3620
274	1368	3608
275	1371	3598
276	1377	3595
277	1381	3588
278	1384	3576
279	1388	3570
280	1392	3563
281	1396	3555
282	1400	3549
283	1405	3542
284	1409	3536
285	1415	3534
286	1421	3531
287	1422	3517
288	1427	3512
289	1433	3509
290	1438	3503
291	1442	3498
292	1447	3491
293	1451	3485
294	1456	3481
295	1460	3472
296	1463	3463
297	1468	3458
298	1471	3449
299	1474	3439
300	1479	3436
301	1484	3430
302	1488	3423
303	1493	3418
304	1497	3412
305	1501	3405
306	1508	3404
307	1513	3400
308	1518	3396
309	1523	3391
310	1526	3382
311	1530	3375
312	1535	3369
313	1538	3361
314	1544	3357
315	1547	3348
316	1551	3343
317	1556	3337
318	1562	3335
319	1570	3337
320	1575	3331
321	1580	3328
322	1587	3326
323	1591	3321
324	1598	3319
325	1600	3309
326	1606	3306
327	1611	3301
328	1619	3302
329	1626	3301
330	1631	3297
331	1636	3292
332	1640	3285
333	1645	3281
334	1648	3272
335	1652	3265
336	1656	3259
337	1663	3258
338	1667	3251
339	1675	3251
340	1679	3245
341	1684	3240
342	1688	3234
343	1693	3229
344	1697	3222
345	1701	3215
346	1705	3209
347	1710	3204
348	1715	3199
349	1719	3192
350	1724	3188
351	1728	3182
352	1733	3177
353	1739	3173
354	1743	3168
355	1747	3161
356	1752	3156
357	1757	3152
358	1760	3143
359	1764	3136
360	1767	3127
361	1771	3121
362	1776	3117
363	1780	3110
364	1783	3103
365	1788	3098
366	1793	3092
367	1794	3082
368	1798	3075
369	1804	3072
370	1809	3067
371	1814	3062
372	1819	3058
373	1823	3051
374	1827	3046
375	1831	3039
376	1834	3032
377	1840	3028
378	1844	3021
379	1847	3014
380	1853	3011
381	1857	3005
382	1861	2999
383	1866	2993
384	1869	2986
385	1872	2979
386	1878	2975
387	1883	2970
388	1886	2963
389	1892	2960
390	1896	2953
391	1902	2950
392	1907	2945
393	1910	2938
394	1915	2934
395	1919	2927
396	1922	2920
397	1929	2918
398	1933	2911
399	1934	2902
400	1939	2896
401	1944	2893
402	1948	2886
403	1951	2879
404	1957	2875
405	1960	2868
406	1965	2864
407	1970	2858
408	1974	2853
409	1979	2848
410	1984	2843
411	1987	2836
412	1993	2832
413	1997	2827
414	2000	2819
415	2005	2815
416	2009	2809
417	2015	2805
418	2021	2803
419	2025	2797
420	2030	2792
421	2034	2786
422	2039	2782
423	2044	2778
424	2049	2773
425	2053	2766
426	2059	2763
427	2063	2757
428	2066	2750
429	2072	2747
430	2075	2740
431	2080	2735
432	2085	2730
433	2090	2726
434	2098	2724
435	2103	2721
436	2109	2717
437	2114	2712
438	2118	2706
439	2123	2702
440	2129	2698
441	2133	2693
442	2138	2688
443	2142	2682
444	2148	2679
445	2152	2674
446	2155	2666
447	2159	2661
448	2163	2655
449	2167	2649
450	2172	2644
451	2176	2639
452	2180	2632
453	2184	2627
454	2191	2624
455	2194	2618
456	2200	2615
457	2205	2610
458	2209	2603
459	2215	2601
460	2219	2595
461	2224	2590
462	2229	2585
463	2233	2579
464	2238	2575
465	2242	2569
466	2246	2563
467	2251	2559
468	2257	2556
469	2261	2550
470	2266	2545
471	2270	2540
472	2276	2536
473	2280	2530
474	2284	2525
475	2290	2521
476	2294	2516
477	2298	2509
478	2303	2505
479	2307	2499
480	2310	2492
481	2315	2488
482	2319	2482
483	2324	2478
484	2330	2474
485	2334	2469
486	2338	2463
487	2344	2459
488	2348	2453
489	2353	2449
490	2358	2444
491	2361	2438
492	2365	2432
493	2371	2429
494	2374	2422
495	2380	2418
496	2385	2414
497	2389	2408
498	2394	2404
499	2398	2398
500	2402	2392
501	2408	2389
502	2412	2384
503	2417	2379
504	2422	2375
505	2426	2368
506	2431	2363
507	2435	2358
508	2439	2353
509	2443	2347
510	2448	2342
511	2451	2336
512	2456	2331
513	2460	2326
514	2464	2320
515	2469	2316
516	2473	2311
517	2478	2306
518	2482	2301
519	2489	2297
520	2493	2292
521	2500	2289
522	2506	2286
523	2511	2281
524	2516	2276
525	2520	2271
526	2525	2266
527	2529	2261
528	2535	2257
529	2539	2251
530	2543	2246
531	2548	2241
532	2552	2236
533	2555	2230
534	2561	2226
535	2565	2221
536	2569	2215
537	2574	2211
538	2578	2205
539	2582	2200
540	2588	2195
541	2592	2190
542	2595	2184
543	2601	2180
544	2606	2176
545	2612	2172
546	2617	2167
547	2622	2162
548	2629	2159
549	2634	2155
550	2641	2152
551	2647	2148
552	2653	2144
553	2659	2140
554	2665	2137
555	2673	2134
556	2680	2132
557	2688	2129
558	2694	2125
559	2703	2124
560	2708	2119
561	2715	2116
562	2720	2111
563	2727	2108
564	2733	2104
565	2739	2100
566	2745	2096
567	2748	2090
568	2755	2086
569	2758	2081
570	2763	2076
571	2770	2072
572	2774	2067
573	2779	2062
574	2783	2057
575	2786	2051
576	2791	2046
577	2797	2042
578	2800	2036
579	2806	2031
580	2809	2026
581	2813	2020
582	2818	2016
583	2822	2010
584	2827	2005
585	2832	2000
586	2835	1995
587	2839	1989
588	2845	1985
589	2849	1980
590	2853	1974
591	2859	1970
592	2863	1965
593	2870	1961
594	2875	1957
595	2881	1953
596	2885	1948
597	2888	1942
598	2895	1938
599	2900	1933
600	2906	1929
601	2911	1924
602	2914	1919
603	2919	1913
604	2924	1909
605	2928	1903
606	2934	1899
607	2938	1894
608	2942	1889
609	2948	1884
610	2952	1879
611	2956	1874
612	2961	1869
613	2965	1864
614	2970	1859
615	2974	1854
616	2981	1850
617	2988	1847
618	2992	1842
619	2997	1836
620	3001	1831
621	3004	1826
622	3010	1821
623	3014	1816
624	3018	1811
625	3023	1806
626	3026	1800
627	3030	1795
628	3035	1790
629	3040	1785
630	3044	1780
631	3049	1775
632	3054	1770
633	3059	1766
634	3065	1762
635	3069	1756
636	3074	1751
637	3079	1747
638	3082	1741
639	3088	1737
640	3091	1731
641	3095	1726
642	3099	1721
643	3105	1716
644	3108	1711
645	3115	1707
646	3119	1701
647	3122	1696
648	3128	1691
649	3133	1687
