iter	Logloss
0	0.6827014174
1	0.6728668636
2	0.6621547822
3	0.6526699221
4	0.6436537238
5	0.6349102356
6	0.6261388745
7	0.6174204286
8	0.6103905596
9	0.6038755491
10	0.5976051322
11	0.5918008702
12	0.5858640979
13	0.5799833848
14	0.5749992606
15	0.570359053
16	0.5645030647
17	0.5594896437
18	0.5556753242
19	0.5507839292
20	0.5467280603
21	0.542911904
22	0.5392061894
23	0.5365562778
24	0.5328485081
25	0.5297535491
26	0.5271056568
27	0.5245937754
28	0.5220320023
29	0.5193936359
30	0.5168736265
31	0.5140931661
32	0.511951724
33	0.5100158145
34	0.5080381102
35	0.505846549
36	0.5043002293
37	0.5023774373
38	0.5002934881
39	0.4983372071
40	0.496678294
41	0.4953751041
42	0.4938070659
43	0.4923226197
44	0.4912352633
45	0.4903924609
46	0.4893748468
47	0.4879279389
48	0.4868154894
49	0.4857303241
50	0.4843875619
51	0.4832380515
52	0.4825065606
53	0.4818318083
54	0.4809794448
55	0.480191468
56	0.4794241753
57	0.4784834231
58	0.4775655847
59	0.4768920457
60	0.476031235
61	0.475557183
62	0.475005851
63	0.4745795751
64	0.4741650101
65	0.4734189536
66	0.4725439044
67	0.4718432838
68	0.4710931215
69	0.4703913437
70	0.4697313045
71	0.4691410602
72	0.4687564753
73	0.4679946757
74	0.4674421795
75	0.4668264299
76	0.4660585042
77	0.4657793963
78	0.4653274064
79	0.4647657774
80	0.4645156373
81	0.4643145197
82	0.4640055105
83	0.463681362
84	0.4632450351
85	0.4628513767
86	0.4623825615
87	0.4619692879
88	0.4614397933
89	0.4610197108
90	0.4605979499
91	0.4601011167
92	0.4596605971
93	0.4592410093
94	0.4587607691
95	0.4584379422
96	0.458107524
97	0.4578362018
98	0.4573904062
99	0.4570543999
100	0.4566881273
101	0.4564204385
102	0.4561183519
103	0.4558646954
104	0.4555026204
105	0.4551914799
106	0.4548913183
107	0.4546523279
108	0.4544027461
109	0.4541701041
110	0.4540640799
111	0.4538568454
112	0.4535068865
113	0.4532081754
114	0.4529086443
115	0.4526123976
116	0.4524139526
117	0.4521440674
118	0.4518591951
119	0.4517462904
120	0.4514997964
121	0.4512334035
122	0.4510386652
123	0.4507339734
124	0.4504733637
125	0.4504638067
126	0.4502508451
127	0.4500497172
128	0.4499160455
129	0.4497689873
130	0.4495507368
131	0.4494264161
132	0.4492733754
133	0.4490354933
134	0.4490115716
135	0.448848864
136	0.4485861985
137	0.4483536533
138	0.4481603441
139	0.4480528389
140	0.4478812917
141	0.4476834754
142	0.447484527
143	0.4472584559
144	0.4470805183
145	0.4470422859
146	0.446835149
147	0.4466682713
148	0.446493162
149	0.446362227
150	0.4462545292
151	0.4461964567
152	0.4460512702
153	0.4458925666
154	0.4457670173
155	0.4455550523
156	0.4453918035
157	0.445229613
158	0.4450061826
159	0.4448870964
160	0.4447650275
161	0.4445967997
162	0.4444933745
163	0.4443694066
164	0.4442551405
165	0.4442066595
166	0.4439968947
167	0.4438257065
168	0.443634808
169	0.4434826434
170	0.4433243801
171	0.4431859096
172	0.4430254494
173	0.4428787913
174	0.4427860849
175	0.4426660168
176	0.4426656539
177	0.4425337009
178	0.4424281409
179	0.4422941371
180	0.44215363
181	0.4420684894
182	0.4419852636
183	0.441867801
184	0.4417716169
185	0.4416916533
186	0.4415298503
187	0.4414022477
188	0.4412453735
189	0.4410987535
190	0.4409793583
191	0.4409146061
192	0.4407356471
193	0.440578009
194	0.4404273628
195	0.4403360749
196	0.4401851575
197	0.4400314991
198	0.4399359826
199	0.4398488656
200	0.4397131525
201	0.4396381279
202	0.4395342817
203	0.4394700719
204	0.4394656217
205	0.4393592104
206	0.4391525055
207	0.4390455401
208	0.4389330809
209	0.4389328035
210	0.4388237879
211	0.4386989896
212	0.4385897016
213	0.4385217945
214	0.4383953257
215	0.4382633789
216	0.438172351
217	0.4380773034
218	0.4379067132
219	0.437850075
220	0.437729134
221	0.4376249452
222	0.4375693341
223	0.4374998578
224	0.4374408088
225	0.4373444127
226	0.4372287909
227	0.4371058945
228	0.4370271264
229	0.436983626
230	0.4369172359
231	0.4368735599
232	0.4368436569
233	0.4367388537
234	0.4365826994
235	0.4364880016
236	0.4363583807
237	0.4363277922
238	0.4362679341
239	0.4361849855
240	0.4361723702
241	0.4360554663
242	0.4359262652
243	0.435846077
244	0.435724624
245	0.4356343817
246	0.4355167864
247	0.4354304892
248	0.4353088115
249	0.4352106201
250	0.4350568674
251	0.4349361328
252	0.4348562083
253	0.4347833218
254	0.4346757354
255	0.4345836349
256	0.4345441454
257	0.4344312599
258	0.4343394408
259	0.434275673
260	0.4341804017
261	0.4341403308
262	0.4340480411
263	0.4339110164
264	0.4337832242
265	0.4337387702
266	0.4336972179
267	0.4336246614
268	0.4335305311
269	0.4334824306
270	0.4333688183
271	0.4333046443
272	0.4332245236
273	0.4331169433
274	0.4330827347
275	0.4329900728
276	0.4329189388
277	0.4328244965
278	0.4327815146
279	0.4327581188
280	0.4326788437
281	0.4326357143
282	0.4325446436
283	0.4324930208
284	0.4324221973
285	0.4323446281
286	0.4322569072
287	0.4322566802
288	0.4321751826
289	0.4320825947
290	0.4320276518
291	0.4319519553
292	0.4318544541
293	0.4317904343
294	0.4317477874
295	0.4316595535
296	0.4316496648
297	0.4316161651
298	0.4316038339
299	0.4315539704
300	0.4315080063
301	0.4314169137
302	0.4313213346
303	0.4312508518
304	0.4311531113
305	0.4310513267
306	0.4309685732
307	0.4308647211
308	0.4307700432
309	0.4306178158
310	0.430556833
311	0.4305339235
312	0.4304096601
313	0.4303545628
314	0.4303044826
315	0.4302421856
316	0.4301915041
317	0.4301636212
318	0.4300975546
319	0.4299961824
320	0.4298956836
321	0.4298575218
322	0.4297710729
323	0.4296950716
324	0.4296337198
325	0.4296328725
326	0.429585448
327	0.4295550777
328	0.4294901448
329	0.4293800258
330	0.4293154615
331	0.4292574711
332	0.4291746767
333	0.429123329
334	0.4291130189
335	0.4290628726
336	0.4289364203
337	0.4288554172
338	0.4287578553
339	0.4286834256
340	0.4286333612
341	0.4285517546
342	0.4284707936
343	0.4284110106
344	0.4283591801
345	0.4283091791
346	0.4282733152
347	0.4282423521
348	0.4281755438
349	0.4281167979
350	0.4280917045
351	0.4280589859
352	0.4280098697
353	0.4279723487
354	0.4278854532
355	0.4278853163
356	0.4278131071
357	0.4277542052
358	0.4277458875
359	0.4276671511
360	0.4276644693
361	0.427635206
362	0.4275353499
363	0.4274423287
364	0.4273870789
365	0.427350235
366	0.4272419202
367	0.4272416436
368	0.4271990955
369	0.4271633352
370	0.4271091857
371	0.4270348215
372	0.4269886162
373	0.426915737
374	0.4268439033
375	0.4267857533
376	0.4267339152
377	0.4266732634
378	0.426620393
379	0.4264945093
380	0.4264305122
381	0.426342006
382	0.4262737461
383	0.4262336676
384	0.4261468687
385	0.426086012
386	0.426025721
387	0.4259196961
388	0.425918502
389	0.4258010962
390	0.425736843
391	0.4256699773
392	0.4255708841
393	0.4254928366
394	0.4254304572
395	0.4254054839
396	0.4252820885
397	0.4252124993
398	0.4251415265
399	0.4251338958
400	0.4250640845
401	0.424984044
402	0.4249301425
403	0.4249024945
404	0.4248173611
405	0.4247173008
406	0.4246449948
407	0.4245827609
408	0.424473034
409	0.4243917254
410	0.4242718941
411	0.4241980411
412	0.4241253863
413	0.4240062163
414	0.4239342159
415	0.4238391019
416	0.4237744021
417	0.4236871373
418	0.4236154189
419	0.4235385991
420	0.4234904505
421	0.4233923263
422	0.4233592348
423	0.423288671
424	0.4232263665
425	0.4231609622
426	0.4230239282
427	0.4229360246
428	0.4228397999
429	0.4227577271
430	0.4226872521
431	0.4225683126
432	0.4225030896
433	0.4224058451
434	0.4223165102
435	0.4222593569
436	0.4222124057
437	0.4220893195
438	0.4220115336
439	0.4219289277
440	0.4218371376
441	0.4217590303
442	0.4216956015
443	0.4216228557
444	0.4215216302
445	0.4214117552
446	0.4214071329
447	0.4213502449
448	0.4212500403
449	0.421206356
450	0.4211088805
451	0.4210435753
452	0.4209664009
453	0.4209114867
454	0.420836772
455	0.4207633738
456	0.4207137053
457	0.4206624874
458	0.420544033
459	0.4204677789
460	0.4204103732
461	0.4202949183
462	0.4202354814
463	0.4201101898
464	0.4200475037
465	0.4199032152
466	0.4198276486
467	0.419745887
468	0.4196345531
469	0.4195831993
470	0.4195423027
471	0.419471445
472	0.4193862171
473	0.4192846739
474	0.4192430814
475	0.4191626799
476	0.4190682177
477	0.4190017567
478	0.4189277125
479	0.4188661515
480	0.4188126323
481	0.4187616754
482	0.418677206
483	0.4186072837
484	0.4184943293
485	0.4184312831
486	0.4182967475
487	0.4182327827
488	0.4181282819
489	0.4180204268
490	0.417913746
491	0.4178663256
492	0.4178039794
493	0.4177324321
494	0.4176569475
495	0.4175676999
496	0.4175034189
497	0.4174349012
498	0.4173382586
499	0.4172314466
500	0.4171901344
501	0.4171367938
502	0.4170775357
503	0.4170188388
504	0.4169302469
505	0.4168320314
506	0.4167168777
507	0.416644948
508	0.4165344155
509	0.4164869054
510	0.4163944215
511	0.4163282319
512	0.4162501622
513	0.4161806518
514	0.4160854959
515	0.4160360848
516	0.4159386553
517	0.4158367021
518	0.4157782726
519	0.4157041544
520	0.4156740768
521	0.4155431572
522	0.4154757678
523	0.4154220905
524	0.4153224426
525	0.4152365602
526	0.4151598312
527	0.4151022875
528	0.4150208982
529	0.4148961957
530	0.4148600078
531	0.4147869832
532	0.4147228304
533	0.4146154563
534	0.414531963
535	0.4144627336
536	0.4144169346
537	0.4143220254
538	0.4141736163
539	0.4141036821
540	0.4140248014
541	0.4138904766
542	0.4138278561
543	0.4137734946
544	0.4136646535
545	0.4136011917
546	0.4135165117
547	0.4134895103
548	0.4134267964
549	0.4133231787
550	0.4132544872
551	0.4131640283
552	0.4130672899
553	0.4129963834
554	0.4129347258
555	0.4128670539
556	0.4127988298
557	0.4127118919
558	0.4126353153
559	0.412556052
560	0.4124857077
561	0.4124035749
562	0.4123368261
563	0.4122219688
564	0.4121362238
565	0.4120961941
566	0.4120641146
567	0.4119980618
568	0.4119371814
569	0.4119059804
570	0.4118388179
571	0.411738407
572	0.4116401907
573	0.4115577288
574	0.4115309087
575	0.4114521447
576	0.4113493949
577	0.411277573
578	0.4111822687
579	0.411086156
580	0.4110131218
581	0.4109133671
582	0.4108076246
583	0.410684164
584	0.410610575
585	0.4105442895
586	0.4104858311
587	0.4104446926
588	0.4103754181
589	0.4103478226
590	0.4102817843
591	0.4102569607
592	0.4101248356
593	0.4100649284
594	0.4100382112
595	0.409947644
596	0.4098917127
597	0.409834114
598	0.4097917769
599	0.4097046076
600	0.409679601
601	0.4096183685
602	0.4094929461
603	0.409392771
604	0.4093048388
605	0.4092403569
606	0.4092167299
607	0.4091623718
608	0.40906447
609	0.4090408503
610	0.408984457
611	0.4089447098
612	0.4088920215
613	0.4088296229
614	0.4087770685
615	0.4087046473
616	0.4086475156
617	0.4085630502
618	0.4084722297
619	0.4083712591
620	0.408302348
621	0.4082798376
622	0.4082442457
623	0.4082060225
624	0.4081373418
625	0.4080450446
626	0.4080235515
627	0.4079581071
628	0.4078916384
629	0.4078364268
630	0.407776199
631	0.4077435153
632	0.407692338
633	0.4076156585
634	0.4075738729
635	0.4075149184
636	0.4074638914
637	0.4074144406
638	0.4073570437
639	0.407315814
640	0.4072350464
641	0.4071399066
642	0.4071193835
643	0.4071000619
644	0.4070109437
645	0.4069410615
646	0.4068948418
647	0.4068109506
648	0.4067498447
649	0.4066686895
