iter	Logloss
0	0.6814538119
1	0.6708370651
2	0.6604421459
3	0.6506377894
4	0.6417257558
5	0.6324505958
6	0.6243198532
7	0.6165420518
8	0.6088161702
9	0.6013883385
10	0.5943247234
11	0.5876982774
12	0.5817189281
13	0.5758539241
14	0.5701346691
15	0.5645874563
16	0.5591919896
17	0.5545840798
18	0.5497668355
19	0.5455963633
20	0.5416156437
21	0.537697034
22	0.5335769427
23	0.5296786777
24	0.5263651613
25	0.5244527616
26	0.5221920338
27	0.5193013783
28	0.5166180962
29	0.5136748819
30	0.5110528233
31	0.5085749847
32	0.5066531562
33	0.5044072104
34	0.5020981219
35	0.4996813236
36	0.4976726345
37	0.4958585279
38	0.4941416911
39	0.4923875188
40	0.4905000281
41	0.4895489397
42	0.4883875942
43	0.4869370003
44	0.4852345459
45	0.4837955395
46	0.4825518335
47	0.48130183
48	0.4798489584
49	0.4785504837
50	0.4775895268
51	0.4762796205
52	0.4753203122
53	0.4743399375
54	0.4732872156
55	0.4723527323
56	0.4715768567
57	0.4704389943
58	0.4696509099
59	0.4688589538
60	0.4678648208
61	0.4670679182
62	0.4662679802
63	0.4655405315
64	0.4651231722
65	0.464579713
66	0.4638932626
67	0.4632166021
68	0.4626604014
69	0.4618802477
70	0.4612987699
71	0.4608048818
72	0.4600627843
73	0.4594242298
74	0.4588945282
75	0.4584931602
76	0.4578699673
77	0.4573208717
78	0.4567602168
79	0.4562866976
80	0.4557606234
81	0.4554133574
82	0.4549152827
83	0.4544133974
84	0.4540356728
85	0.4535500299
86	0.4531607741
87	0.4529136995
88	0.4524627103
89	0.4521572048
90	0.45169527
91	0.4512930412
92	0.450975654
93	0.4506162462
94	0.4502452374
95	0.4497978328
96	0.4495613545
97	0.4493989261
98	0.4491986846
99	0.4488482519
100	0.4488244906
101	0.448535528
102	0.4481918971
103	0.4478873136
104	0.4476114237
105	0.447349994
106	0.4471778589
107	0.4468310683
108	0.4465059462
109	0.4462062835
110	0.4459095428
111	0.4455784177
112	0.4453371879
113	0.4451260846
114	0.4449134897
115	0.4446178518
116	0.4443559946
117	0.4443281935
118	0.4439958642
119	0.4438027115
120	0.443519859
121	0.4433238315
122	0.4430335871
123	0.4428342308
124	0.4425629419
125	0.4423144056
126	0.4420903508
127	0.4420172031
128	0.4418154351
129	0.4414460225
130	0.4411930297
131	0.4409294786
132	0.4407380915
133	0.4406380702
134	0.4404655149
135	0.4402918511
136	0.440143769
137	0.4399973404
138	0.4397975279
139	0.4395771712
140	0.4392920035
141	0.4391701154
142	0.4390498149
143	0.4389008594
144	0.4387470701
145	0.4386252086
146	0.4385039515
147	0.4383725503
148	0.4381966463
149	0.4380649634
150	0.4379233048
151	0.4377637102
152	0.4375704655
153	0.4374144423
154	0.437202786
155	0.437007148
156	0.4368357515
157	0.4366730867
158	0.4366565402
159	0.4364467552
160	0.4362643819
161	0.4361391653
162	0.4360324294
163	0.4358562706
164	0.4356445232
165	0.4354684939
166	0.4353289432
167	0.4351990437
168	0.4349895025
169	0.4347630402
170	0.4346800594
171	0.4346317442
172	0.4344665388
173	0.4343515557
174	0.4342310968
175	0.4341065977
176	0.4339584873
177	0.4338248899
178	0.4336462144
179	0.4335018228
180	0.4333671874
181	0.4332105553
182	0.4331018102
183	0.4330340866
184	0.4328581841
185	0.4326685194
186	0.4325509859
187	0.4324122299
188	0.4322810745
189	0.432174316
190	0.4320037609
191	0.4318479557
192	0.4317546501
193	0.4316878634
194	0.4315823321
195	0.4315092679
196	0.4313807504
197	0.4312843208
198	0.4311605639
199	0.4310594595
200	0.4309472213
201	0.4307320008
202	0.4306253849
203	0.4304426485
204	0.4303365581
205	0.4302311574
206	0.4301148187
207	0.4299639628
208	0.4298981245
209	0.4297664624
210	0.4296731236
211	0.4295356377
212	0.4294366649
213	0.429282501
214	0.4291698776
215	0.429005905
216	0.4288774197
217	0.4287723848
218	0.4287032521
219	0.4285970995
220	0.4285097339
221	0.4284395859
222	0.4283686608
223	0.4282681109
224	0.4281540106
225	0.4280565373
226	0.427983155
227	0.4278806584
228	0.4277749165
229	0.4276255784
230	0.4275986499
231	0.4275274391
232	0.4274648694
233	0.4273559733
234	0.4272866887
235	0.4271170458
236	0.4270825692
237	0.4270218867
238	0.4269593542
239	0.4268012868
